,Momentum,EnergyCold,EnergyHot
0,-4.06031315107044e-22,-1.81678728388749e-18,-1.4427412763244e-19
1,-8.66828338227022e-22,-1.61173387368038e-18,-1.65783502332339e-19
2,-2.71304499613826e-23,-1.90329699502084e-18,-9.44357396815758e-20
3,-5.83902098963747e-23,-1.67647266298446e-18,-2.14286065491347e-19
4,2.9199556349725e-23,-1.8108190901185e-18,-1.07931492657707e-19
5,-4.61824000677035e-22,-1.5368392053835e-18,-2.26569550881669e-19
6,1.88668359206942e-22,-1.60457266910439e-18,-1.31858998397922e-19
7,3.07497789776014e-22,-1.86417845366548e-18,-1.72098196212493e-19
8,-1.18332870563117e-22,-1.80422781363844e-18,-1.79205502038719e-19
9,6.05670733222566e-22,-1.67048969821803e-18,-1.28029059367913e-19
10,1.65075957211618e-22,-1.89782036002468e-18,-1.40219211777482e-19
11,1.89605509748691e-22,-1.67765363384147e-18,-1.82856848921373e-19
12,1.16442624862187e-22,-1.97217778297915e-18,-1.58967104404652e-19
13,3.72128359091103e-22,-1.72657870549582e-18,-1.04035125734153e-19
14,5.82472289735959e-22,-1.70025354489447e-18,-5.95283503023417e-20
15,-3.33769768211585e-22,-1.72405552242712e-18,-1.62247705640509e-19
16,-2.66688794628821e-22,-1.88364689056324e-18,-2.03318978482457e-19
17,-2.87756381922524e-22,-1.84068206827786e-18,-1.69165945108394e-19
18,2.00657799882608e-22,-1.66137192507542e-18,-1.38793791956478e-19
19,-9.88755199338376e-24,-1.73110447701589e-18,-1.59799382788595e-19
20,5.76619038658282e-22,-1.84616538910405e-18,-1.14414016935988e-19
21,-5.96754253062047e-23,-1.80667409523302e-18,-1.96130575042796e-19
22,3.89026003234926e-22,-1.75526264523517e-18,-8.68601513066636e-20
23,2.89040483462855e-22,-1.92341230447237e-18,-1.18729511843749e-19
24,-1.78390638655953e-22,-1.74537380453235e-18,-2.23564477950874e-19
25,-9.37291378180272e-22,-1.9538060286215e-18,-2.36778889856378e-19
26,-1.47285945229276e-22,-1.87297652601872e-18,-1.56926391687725e-19
27,-7.17928559325199e-22,-1.80484248375389e-18,-1.96401138336894e-19
28,2.32819748160921e-22,-1.6887497285232e-18,-1.46067702053108e-19
29,3.2358255376036e-22,-1.81423742481283e-18,-1.74380133065684e-19
30,4.90612178943249e-23,-1.9563735295288e-18,-1.75999800246048e-19
31,6.94600775032297e-24,-1.87445452143315e-18,-1.63628227583184e-19
32,1.54481225793123e-22,-1.78367056200427e-18,-1.43361028290982e-19
33,-4.62301875974883e-22,-1.67940885166397e-18,-1.56432818863575e-19
34,7.46817686373354e-22,-1.73470746792214e-18,-1.13205839573417e-19
35,6.06828020273352e-22,-1.44148523332367e-18,-5.4453121756405e-20
36,-2.56727237774976e-22,-1.6613433254269e-18,-2.58802422834009e-19
37,1.25910353485935e-23,-1.77385634602822e-18,-1.10647235088742e-19
38,-1.94846590234081e-22,-1.77104247228867e-18,-1.35777005684581e-19
39,1.8099025320078e-22,-1.90382251637187e-18,-1.42748571108991e-19
40,1.65801987429277e-22,-1.76726197469151e-18,-1.70047097254551e-19
41,4.54350892636077e-22,-1.72943649517572e-18,-1.52324756399539e-19
42,4.78670103503333e-22,-1.85802654335104e-18,-2.08078032285106e-19
43,1.2929411055955e-23,-1.56306134175509e-18,-1.7970729771795e-19
44,-8.90148436644278e-22,-1.61483885951477e-18,-2.7560014059957e-19
45,-3.13555740530767e-22,-1.89353248341479e-18,-1.33462706358344e-19
46,-2.41491664086855e-22,-1.59830349257807e-18,-1.05284804076418e-19
